"provinsi","kabupaten_kota","kabkota","ibu_kota","bupati_wali_kota","luas_wilayah","jumlah_penduduk","kecamatan","total_kelurahan_desa"
"Kalimantan Selatan","Hulu Sungai Selatan","Kabupaten","Kandangan","Achmad Fikry",1804.94,228006,11,148
"Kalimantan Selatan","Hulu Sungai Tengah","Kabupaten","Barabai","Aulia Oktafiandi",1472,258721,11,169
"Kalimantan Selatan","Hulu Sungai Utara","Kabupaten","Amuntai","Raden Suria Fadliansyah (Pj.)",892.7,226727,10,219
"Kalimantan Selatan","Kotabaru","Kabupaten","Kotabaru","Sayed Jafar Alaydrus",9482.73,325622,21,202
"Kalimantan Selatan","Tabalong","Kabupaten","Tanjung","Anang Syakhfiani",3766.97,253305,12,131
"Kalimantan Selatan","Tanah Bumbu","Kabupaten","Batulicin","Zairullah Azhar",5006.96,322646,10,149
"Kalimantan Selatan","Tanah Laut","Kabupaten","Pelaihari","Sukamta",3631.35,348966,11,135
"Kalimantan Selatan","Tapin","Kabupaten","Rantau","Arifin Arpan",2700.82,189475,12,135
"Kalimantan Selatan","Banjarbaru","Kota","Banjarbaru","Aditya Mufti Ariffin",371,253442,5,20
"Kalimantan Selatan","Banjarmasin","Kota","Banjarmasin","Ibnu Sina",72,657663,5,52
"Kalimantan Timur","Berau","Kabupaten","Tanjung Redeb","Sri Juniarsih Mas",36962.37,238214,13,110
"Kalimantan Timur","Kutai Barat","Kabupaten","Sendawar","F.X. Yapan",20384.6,165938,16,194
"Kalimantan Timur","Kutai Kartanegara","Kabupaten","Tenggarong","Edi Damansyah",27263.1,734485,18,237
"Kalimantan Timur","Kutai Timur","Kabupaten","Sangatta","Ardiansyah Sulaiman",35747.5,424334,18,141
"Kalimantan Timur","Mahakam Ulu","Kabupaten","Ujoh Bilang","Bonifasius Belawan Geh",15315,35010,5,50
"Kalimantan Timur","Paser","Kabupaten","Tanah Grogot","Fahmi Fadli",7730.88,277401,10,144
"Kalimantan Timur","Penajam Paser Utara","Kabupaten","Penajam","Hamdam Pongrewa",3333.06,181349,4,54
"Kalimantan Timur","Balikpapan","Kota","Balikpapan","Rahmad Mas'ud",533,727655,6,34
"Kalimantan Timur","Bontang","Kota","Bontang","Basri Rase",149.8,185928,3,15
"Kalimantan Timur","Samarinda","Kota","Samarinda","Andi Harun",718,834824,10,59
"Kalimantan Utara","Bulungan","Kabupaten","Tanjung Selor","Syarwani",13925.72,151800,10,81
"Kalimantan Utara","Malinau","Kabupaten","Malinau","Wempi Wellem Mawa",42620.7,82500,15,109
"Kalimantan Utara","Nunukan","Kabupaten","Nunukan","Asmin Laura",13841.9,199090,21,240
"Kalimantan Utara","Tana Tidung","Kabupaten","Tideng Pale","Ibrahim Ali",4828.58,25600,5,32
"Kalimantan Utara","Tarakan","Kota","Tarakan","Khairul",250.8,242800,4,20
"Sulawesi Utara","Bolaang Mongondow","Kabupaten","Lolak","Limi Mokodompit (Pj.)",5397.69,248751,15,202
"Sulawesi Utara","Bolaang Mongondow Selatan","Kabupaten","Bolaang Uki","Iskandar Kamaru",1932.6,69791,7,81
"Sulawesi Utara","Bolaang Mongondow Timur","Kabupaten","Tutuyan","Sam Sachrul Mamonto",910.18,87241,7,81
"Sulawesi Utara","Bolaang Mongondow Utara","Kabupaten","Boroko","Depri Pontoh",1856.86,83112,6,107
"Sulawesi Utara","Kepulauan Sangihe","Kabupaten","Tahuna","Rinny Tamuntuan (Pj.)",736.98,139262,15,167
"Sulawesi Utara","Kepulauan Siau Tagulandang Biaro","Kabupaten","Ondong Siau","Evangeline Sasingen",275.96,72135,10,93
"Sulawesi Utara","Kepulauan Talaud","Kabupaten","Melonguane","Elly Engelbert Lasut",1251.02,113521,19,153
"Sulawesi Utara","Minahasa","Kabupaten","Tondano","Royke Octavian Roring",1025.85,348670,25,270
"Sulawesi Utara","Minahasa Selatan","Kabupaten","Amurang","Franky Donny Wongkar",1456.46,238740,17,177
"Sulawesi Utara","Minahasa Tenggara","Kabupaten","Ratahan","James Sumendap",730.63,117079,12,144
"Sulawesi Utara","Minahasa Utara","Kabupaten","Airmadidi","Joune Ganda",1059.24,224993,10,132
"Sulawesi Utara","Bitung","Kota","Bitung","Maurits Mantiri",313.51,225134,8,69
"Sulawesi Utara","Kotamobagu","Kota","Kotamobagu","Tatong Bara",184.33,125492,4,33
"Sulawesi Utara","Manado","Kota","Manado","Andrei Angouw",162.53,476910,11,87
"Sulawesi Utara","Tomohon","Kota","Tomohon","Caroll Senduk",147.21,100587,5,44
"Sulawesi Tengah","Banggai","Kabupaten","Luwuk","Herwin Yatim",9672.7,359495,23,337
"Sulawesi Tengah","Banggai Kepulauan","Kabupaten","Salakan","Ihsan Basir (Pj.)",2488.79,117526,12,144
"Sulawesi Tengah","Banggai Laut","Kabupaten","Banggai","Sofyan Kaepa",725.67,63127,7,66
"Sulawesi Tengah","Buol","Kabupaten","Buol","Moh. Muchlis Yojodolo (Pj.)",4043.57,132786,11,115
"Sulawesi Tengah","Donggala","Kabupaten","Banawa","Kasman Lassa",4275.08,293470,16,167
"Sulawesi Tengah","Morowali","Kabupaten","Bungku Tengah","Taslim",3037.04,129814,9,133
"Sulawesi Tengah","Morowali Utara","Kabupaten","Kolonodale","Delis Julkarson Hehi",10004.28,117164,10,125
"Sulawesi Tengah","Parigi Moutong","Kabupaten","Parigi","Samsurizal Tombolotutu",5089.91,444513,23,283
"Sulawesi Tengah","Poso","Kabupaten","Poso","Verna Gladies Merry Inkiriwang",7112.25,243025,19,169
"Sulawesi Tengah","Sigi","Kabupaten","Sigi Biromaru","Mohamad Irwan Lapatta",5196.02,247057,15,176
"Sulawesi Tengah","Tojo Una-Una","Kabupaten","Ampana Kota","Mohammad Lahay",5721.15,155885,12,146
"Sulawesi Tengah","Tolitoli","Kabupaten","Baolan","Amran Hi. Yahya",4079.77,211973,10,109
"Sulawesi Tengah","Palu","Kota","Palu","Hadianto Rasyid",395.06,363867,8,46
"Sulawesi Selatan","Bantaeng","Kabupaten","Bantaeng","Ilham Syah Azikin",395.83,176699,8,67
"Sulawesi Selatan","Barru","Kabupaten","Barru","Suardi Saleh",1174.71,165983,7,55
"Sulawesi Selatan","Bone","Kabupaten","Watampone","Andi Fahsar M. Padjalangi",4559,717268,27,372
"Sulawesi Selatan","Bulukumba","Kabupaten","Ujung Bulu","Andi Muchtar Ali Yusuf",1154.67,394560,10,136
"Sulawesi Selatan","Enrekang","Kabupaten","Enrekang","Muslimin Bando",1786.01,190579,12,129
"Sulawesi Selatan","Gowa","Kabupaten","Sungguminasa","Adnan Purichta Ichsan",1883.32,652329,18,167
"Sulawesi Selatan","Jeneponto","Kabupaten","Bontosunggu","Iksan Iskandar",749.79,342222,11,113
"Sulawesi Selatan","Kepulauan Selayar","Kabupaten","Benteng","Muhammad Basli Ali",10503.69,122055,11,88
"Sulawesi Selatan","Luwu","Kabupaten","Belopa","Basmin Mattayang",3000.25,332482,21,227
"Sulawesi Selatan","Luwu Timur","Kabupaten","Malili","Budiman Hakim",6944.88,243069,11,128
"Sulawesi Selatan","Luwu Utara","Kabupaten","Masamba","Indah Putri Indriani",7502.58,287472,15,173
"Sulawesi Selatan","Maros","Kabupaten","Turikale","Chaidir Syam",1619.12,322212,14,103
"Sulawesi Selatan","Pangkajene dan Kepulauan","Kabupaten","Pangkajene","Muhammad Yusran Lalogau",1236.27,305758,13,103
"Sulawesi Selatan","Pinrang","Kabupaten","Watang Sawitto","Andi Irwan Hamid",1961.77,351161,12,109
"Sulawesi Selatan","Sidenreng Rappang","Kabupaten","Pangkajene Sidenreng","Dollah Mando",2506.19,278004,11,106
"Sulawesi Selatan","Sinjai","Kabupaten","Balangnipa","Andi Seto Gadhista Asapa",819.96,228936,9,80
"Sulawesi Selatan","Soppeng","Kabupaten","Watansoppeng","Andi Kaswadi Razak",1359.44,223757,8,70
"Sulawesi Selatan","Takalar","Kabupaten","Pattallassang","Setiawan Aswad (Pj.)",566.51,269171,10,100
"Sulawesi Selatan","Tana Toraja","Kabupaten","Makale","Theofilus Allorerung",2054.3,221795,19,159
"Sulawesi Selatan","Toraja Utara","Kabupaten","Rantepao","Yohanis Bassang",1151.47,215400,21,151
"Sulawesi Selatan","Wajo","Kabupaten","Sengkang","Amran Mahmud",2056.2,384694,14,190
"Sulawesi Selatan","Makassar","Kota","Makassar","Moh. Ramdhan Pomanto",175.77,1334090,15,153
"Sulawesi Selatan","Palopo","Kota","Palopo","Judas Amir",247.52,148033,9,48
"Sulawesi Selatan","Parepare","Kota","Parepare","Taufan Pawe",99.33,132048,4,22
"Sulawesi Tenggara","Bombana","Kabupaten","Rumbia","Burhanuddin (Pj.)",3001,136582,22,143
"Sulawesi Tenggara","Buton","Kabupaten","Pasarwajo","Basiran (Pj.)",1212.99,114596,7,95
"Sulawesi Tenggara","Buton Selatan","Kabupaten","Batauga","La Ode Budiman (Pj.)",509.92,94727,7,70
"Sulawesi Tenggara","Buton Tengah","Kabupaten","Labungkari","Muhamad Yusuf (Pj.)",958.31,115121,7,77
"Sulawesi Tenggara","Buton Utara","Kabupaten","Buranga","M. Ridwan Zakariah",1864.91,62197,6,90
"Sulawesi Tenggara","Kolaka","Kabupaten","Kota Kolaka","Ahmad Safei",3283.59,228970,12,135
"Sulawesi Tenggara","Kolaka Timur","Kabupaten","Tirawuta","Abdul Azis (Plt.)",3634.74,119461,13,133
"Sulawesi Tenggara","Kolaka Utara","Kabupaten","Lasusua","Parinringi (Pj.)",3391.67,134771,15,133
"Sulawesi Tenggara","Konawe","Kabupaten","Kota Unaaha","Kery Saiful Konggoasa",4435.28,253659,27,354
"Sulawesi Tenggara","Konawe Kepulauan","Kabupaten","Langara","Amrullah",867.58,34226,7,96
"Sulawesi Tenggara","Konawe Selatan","Kabupaten","Andolo","Surunuddin Dangga",5779.47,306783,25,351
"Sulawesi Tenggara","Konawe Utara","Kabupaten","Wanggudu","Ruksamin",5101.76,64773,13,170
"Sulawesi Tenggara","Muna","Kabupaten","Kota Raha","La Ode M. Rusman Emba",1922.16,227941,22,151
"Sulawesi Tenggara","Muna Barat","Kabupaten","Sawerigadi","Bahri (Pj.)",1022.89,78630,11,86
"Sulawesi Tenggara","Wakatobi","Kabupaten","Wangi-Wangi","Haliana",559.54,110303,8,101
"Sulawesi Tenggara","Baubau","Kota","Baubau","La Ode Ahmad Monianse",221,154487,8,43
"Sulawesi Tenggara","Kendari","Kota","Kendari","Asmawa Tosepu (Pj.)",300.89,334335,10,64
"Gorontalo","Boalemo","Kabupaten","Tilamuta","Hendriwan (Pj.)",1521.88,143689,7,82
"Gorontalo","Bone Bolango","Kabupaten","Suwawa","Hamim Pou",1984.31,160154,18,165
"Gorontalo","Gorontalo","Kabupaten","Limboto","Nelson Pomalingo",1750.83,391944,19,205
"Gorontalo","Gorontalo Utara","Kabupaten","Kwandang","Thariq Modanggu",1676.15,124202,11,123
"Gorontalo","Pohuwato","Kabupaten","Marisa","Saipul A. Mbuinga",4244.31,141281,13,104
"Gorontalo","Gorontalo","Kota","Gorontalo","Marten Taha",79.59,196055,9,50
"Sulawesi Barat","Majene","Kabupaten","Banggae","Andi Achmad Syukri Tammalele",947.84,166505,8,82
"Sulawesi Barat","Mamasa","Kabupaten","Mamasa","Ramlan Badawi",3005.88,203599,17,181
"Sulawesi Barat","Mamuju","Kabupaten","Mamuju","Sitti Sutinah Suhardi",3973.07,110593,11,103
"Sulawesi Barat","Mamuju Tengah","Kabupaten","Tobadak","Aras Tammauni",3014.37,142913,5,54
"Sulawesi Barat","Pasangkayu","Kabupaten","Pasangkayu","Yaumil Ambo Djiwa",3043.75,208325,12,63
"Sulawesi Barat","Polewali Mandar","Kabupaten","Polewali","Andi Ibrahim Masdar",1775.65,517677,16,167
"Maluku","Buru","Kabupaten","Namlea","Djalaludin Salampessy (Pj.)",4932.32,130696,10,82
"Maluku","Buru Selatan","Kabupaten","Namrole","Safitri Malik Soulisa",3780.56,72993,6,79
"Maluku","Kepulauan Aru","Kabupaten","Dobo","Johan Gonga",8152.42,102272,10,119
"Maluku","Kepulauan Tanimbar","Kabupaten","Saumlaki","Daniel Indey (Pj.)",4465.79,122337,10,82
"Maluku","Maluku Barat Daya","Kabupaten","Tiakur","Benyamin Thomas Noach",4581.06,66805,17,118
"Maluku","Maluku Tengah","Kabupaten","Masohi","Muhamad Marasabessy (Pj.)",7953.81,422065,18,192
"Maluku","Maluku Tenggara","Kabupaten","Langgur","Muh. Thaher Hanubun",1031.81,125704,11,191
"Maluku","Seram Bagian Barat","Kabupaten","Piru","Andi Chandra As’aduddin (Pj.)",5033.38,208009,11,92
"Maluku","Seram Bagian Timur","Kabupaten","Bula","Abdul Mukti Keliobas",6429.88,131707,15,198
"Maluku","Ambon","Kota","Ambon","Bodewin Wattimena (Pj.)",298.61,375760,5,50
"Maluku","Tual","Kota","Tual","Adam Rahayaan",254.39,84585,5,30
"Maluku Utara","Halmahera Barat","Kabupaten","Jailolo","James Uang",1704.2,132427,8,169
"Maluku Utara","Halmahera Tengah","Kabupaten","Weda","Ikram M. Sangadji (Pj.)",2653.76,50164,10,61
"Maluku Utara","Halmahera Timur","Kabupaten","Kota Maba","Ubaid Yakub",6571.37,90924,10,102
"Maluku Utara","Halmahera Selatan","Kabupaten","Labuha","Usman Sidik",8148.9,247378,30,249
"Maluku Utara","Halmahera Utara","Kabupaten","Tobelo","Frans Manery",3896.9,194291,17,196
"Maluku Utara","Kepulauan Sula","Kabupaten","Sanana","Fifian Adeningsi Mus",3304.32,110507,12,78
"Maluku Utara","Pulau Morotai","Kabupaten","Daruba","Muhammad Umar Ali (Pj.)",2476,66983,5,88
"Maluku Utara","Pulau Taliabu","Kabupaten","Bobong","Aliong Mus",1469.93,56202,8,71
"Maluku Utara","Ternate","Kota","Ternate","M. Tauhid Soleman",111.39,215524,7,77
"Maluku Utara","Tidore Kepulauan","Kota","Soasio","Ali Ibrahim",1645.73,111431,8,89
"Papua","Biak Numfor","Kabupaten","Biak","Herry Ario Naap",2602,134650,19,268
"Papua","Jayapura","Kabupaten","Sentani","Triwarno Purnomo (Pj.)",11157.15,166171,19,144
"Papua","Keerom","Kabupaten","Arso (de facto)Waris (de jure)","Piter Gusbager",8390,61623,11,91
"Papua","Kepulauan Yapen","Kabupaten","Serui Kota","Cyfrianus Yustus Mambay (Pj.)",2050,112676,16,165
"Papua","Mamberamo Raya","Kabupaten","Burmeso","Dorinus Dasinapa",23813.91,36483,8,60
"Papua","Sarmi","Kabupaten","Sarmi","Markus Oktovianus Mansnembra (Pj.)",17742,41515,10,94
"Papua","Supiori","Kabupaten","Sorendiweri","Yan Imbab",678.32,22547,5,38
"Papua","Waropen","Kabupaten","Botawa","Yeremias Bisay",10977.09,33943,11,100
"Papua","Jayapura","Kota","Jayapura","Frans Pekey (Pj.)",935.92,398478,5,39
"Papua Barat","Fakfak","Kabupaten","Fakfak","Untung Tamsil",14320,85197,17,149
"Papua Barat","Kaimana","Kabupaten","Kaimana","Freddy Thie",16241.84,62256,7,86
"Papua Barat","Manokwari","Kabupaten","Manokwari","Hermus Indou",3186.28,192663,9,173
"Papua Barat","Manokwari Selatan","Kabupaten","Ransiki","Markus Waran",2812.44,35949,6,57
"Papua Barat","Pegunungan Arfak","Kabupaten","Anggi","Yosias Saroy",2773.74,38207,10,166
"Papua Barat","Teluk Bintuni","Kabupaten","Bintuni","Petrus Kasihiw",20840.83,87033,24,117
"Papua Barat","Teluk Wondama","Kabupaten","Rasiei","Hendrik Mambor",3959.53,41644,13,76
"Papua Selatan","Asmat","Kabupaten","Agats","Elisa Kambu",31983.69,110105,19,221
"Papua Selatan","Boven Digoel","Kabupaten","Tanah Merah","Hengky Yaluwo",27108,64285,20,112
"Papua Selatan","Mappi","Kabupaten","Kepi","Michael Rooney Gomar (Pj.)",24118,108295,15,164
"Papua Selatan","Merauke","Kabupaten","Merauke","Romanus Mbaraka",44071,230932,20,190
"Papua Tengah","Deiyai","Kabupaten","Tigi","Ateng Edowai",537.39,99091,5,67
"Papua Tengah","Dogiyai","Kabupaten","Kamu","Petrus Agapa (Pj.)",4237.4,116206,10,79
"Papua Tengah","Intan Jaya","Kabupaten","Sugapa","Apolos Bagau (Pj.)",3922.02,135043,8,97
"Papua Tengah","Mimika","Kabupaten","Timika","Johannes Rettob (Plt.)",21633,311969,18,111
"Papua Tengah","Nabire","Kabupaten","Nabire","Mesak Magai",11112.61,169136,15,81
"Papua Tengah","Paniai","Kabupaten","Enarotali","Meki Fritz Nawipa",6525.25,220410,23,221
"Papua Tengah","Puncak","Kabupaten","Ilaga","Willem Wandik",8055,114741,25,206
"Papua Tengah","Puncak Jaya","Kabupaten","Mulia","Tumiran (Pj.)",5996.94,224527,26,305
"Papua Pegunungan","Jayawijaya","Kabupaten","Wamena","John Richard Banua",13925.31,277923,40,332
"Papua Pegunungan","Lanny Jaya","Kabupaten","Tiom","Petrus Wakerkwa (Pj.)",6077.4,201461,39,355
"Papua Pegunungan","Mamberamo Tengah","Kabupaten","Kobakma","Yonas Kenelak (Plt.)",3743.64,51719,5,59
"Papua Pegunungan","Nduga","Kabupaten","Kenyam","Namia Gwijangge (Pj.)",12941,109630,32,248
"Papua Pegunungan","Pegunungan Bintang","Kabupaten","Oksibil","Spei Yan Birdana",15683,78466,34,277
"Papua Pegunungan","Tolikara","Kabupaten","Karubaga","Marthen Kogoya (Pj.)",14564,244345,46,545
"Papua Pegunungan","Yalimo","Kabupaten","Elelim","Nahor Nekwek",4330.29,103387,5,300
"Papua Pegunungan","Yahukimo","Kabupaten","Sumohai (de jure)Dekai (de facto)","Didimus Yahuli",17152,350880,51,511
"Papua Barat Daya","Maybrat","Kabupaten","Kumurkek","Bernhard Rondonuwu (Pj.)",5461.69,42991,24,260
"Papua Barat Daya","Raja Ampat","Kabupaten","Waisai","Abdul Faris Umlati",8034.44,64141,24,121
"Papua Barat Daya","Sorong","Kabupaten","Aimas","Yan Piet Moso (Pj.)",6544.23,118679,30,252
"Papua Barat Daya","Sorong Selatan","Kabupaten","Teminabuan","Samsudin Anggiluli",6594.31,52469,15,123
"Papua Barat Daya","Tambrauw","Kabupaten","Fef","Engelbertus Gabriel Kocu (Pj.)",11529.18,28379,29,216
"Papua Barat Daya","Sorong","Kota","Sorong","George Yarangga (Pj.)",656.64,284410,10,52
