"provinsi","kabupaten_kota","ibu_kota","bupati_wali_kota","luas_wilayah_diff_sources_and_years","jumlah_penduduk_diff_sources_and_years","kecamatan","kelurahan_desa"
"Kalimantan Selatan","Kabupaten Hulu Sungai Utara","Amuntai","Raden Suria Fadliansyah (Pj.)",892.7,226727,10,"5/214"
"Kalimantan Selatan","Kabupaten Kotabaru","Kotabaru","Sayed Jafar Alaydrus",9482.73,325622,21,"4/198"
"Kalimantan Selatan","Kabupaten Tabalong","Tanjung","Anang Syakhfiani",3766.97,253305,12,"10/121"
"Kalimantan Selatan","Kabupaten Tanah Bumbu","Batulicin","Zairullah Azhar",5006.96,322646,10,"5/144"
"Kalimantan Selatan","Kabupaten Tanah Laut","Pelaihari","Sukamta",3631.35,348966,11,"5/130"
"Kalimantan Selatan","Kabupaten Tapin","Rantau","Arifin Arpan",2700.82,189475,12,"9/126"
"Kalimantan Selatan","Kota Banjarbaru","-","Aditya Mufti Ariffin",371,253442,5,"20/-"
"Kalimantan Selatan","Kota Banjarmasin","-","Ibnu Sina",72,657663,5,"52/-"
"Kalimantan Timur","Kabupaten Berau","Tanjung Redeb","Sri Juniarsih Mas",36962.37,238214,13,"10/100"
"Kalimantan Timur","Kabupaten Kutai Barat","Sendawar","F.X. Yapan",20384.6,165938,16,"4/190"
"Kalimantan Timur","Kabupaten Kutai Kartanegara","Tenggarong","Edi Damansyah",27263.1,734485,18,"44/193"
"Kalimantan Timur","Kabupaten Kutai Timur","Sangatta","Ardiansyah Sulaiman",35747.5,424334,18,"2/139"
"Kalimantan Timur","Kabupaten Mahakam Ulu","Ujoh Bilang","Bonifasius Belawan Geh",15315,35010,5,"-/50"
"Kalimantan Timur","Kabupaten Paser","Tanah Grogot","Fahmi Fadli",7730.88,277401,10,"5/139"
"Kalimantan Timur","Kabupaten Penajam Paser Utara","Penajam","Hamdam Pongrewa",3333.06,181349,4,"24/30"
"Kalimantan Timur","Kota Balikpapan","-","Rahmad Mas'ud",533,727655,6,"34/-"
"Kalimantan Timur","Kota Bontang","-","Basri Rase",149.8,185928,3,"15/-"
"Kalimantan Timur","Kota Samarinda","-","Andi Harun",718,834824,10,"59/-"
"Kalimantan Utara","Kabupaten Bulungan","Tanjung Selor","Syarwani",13925.72,151800,10,"7/74"
"Kalimantan Utara","Kabupaten Malinau","Malinau","Wempi Wellem Mawa",42620.7,82500,15,"-/109"
"Kalimantan Utara","Kabupaten Nunukan","Nunukan","Asmin Laura",13841.9,199090,21,"8/232"
"Kalimantan Utara","Kabupaten Tana Tidung","Tideng Pale","Ibrahim Ali",4828.58,25600,5,"-/32"
"Kalimantan Utara","Kota Tarakan","-","Khairul",250.8,242800,4,"20/-"
"Sulawesi Utara","Kabupaten Bolaang Mongondow","Lolak","Limi Mokodompit (Pj.)",5397.69,248751,15,"2/200"
"Sulawesi Utara","Kabupaten Bolaang Mongondow Selatan","Bolaang Uki","Iskandar Kamaru",1932.6,69791,7,"-/81"
"Sulawesi Utara","Kabupaten Bolaang Mongondow Timur","Tutuyan","Sam Sachrul Mamonto",910.18,87241,7,"-/81"
"Sulawesi Utara","Kabupaten Bolaang Mongondow Utara","Boroko","Depri Pontoh",1856.86,83112,6,"1/106"
"Sulawesi Utara","Kabupaten Kepulauan Sangihe","Tahuna","Rinny Tamuntuan (Pj.)",736.98,139262,15,"22/145"
"Sulawesi Utara","Kabupaten Kepulauan Siau Tagulandang Biaro","Ondong Siau","Evangeline Sasingen",275.96,72135,10,"10/83"
"Sulawesi Utara","Kabupaten Kepulauan Talaud","Melonguane","Elly Engelbert Lasut",1251.02,113521,19,"11/142"
"Sulawesi Utara","Kabupaten Minahasa","Tondano","Royke Octavian Roring",1025.85,348670,25,"43/227"
"Sulawesi Utara","Kabupaten Minahasa Selatan","Amurang","Franky Donny Wongkar",1456.46,238740,17,"10/167"
"Sulawesi Utara","Kabupaten Minahasa Tenggara","Ratahan","James Sumendap",730.63,117079,12,"9/135"
"Sulawesi Utara","Kabupaten Minahasa Utara","Airmadidi","Joune Ganda",1059.24,224993,10,"6/126"
"Sulawesi Utara","Kota Bitung","-","Maurits Mantiri",313.51,225134,8,"69/-"
"Sulawesi Utara","Kota Kotamobagu","-","Tatong Bara",184.33,125492,4,"18/15"
"Sulawesi Utara","Kota Manado","-","Andrei Angouw",162.53,476910,11,"87/-"
"Sulawesi Utara","Kota Tomohon","-","Caroll Senduk",147.21,100587,5,"44/-"
"Sulawesi Tengah","Kabupaten Banggai","Luwuk","Herwin Yatim",9672.7,359495,23,"46/291"
"Sulawesi Tengah","Kabupaten Banggai Kepulauan","Salakan","Ihsan Basir (Pj.)",2488.79,117526,12,"3/141"
"Sulawesi Tengah","Kabupaten Banggai Laut","Banggai","Sofyan Kaepa",725.67,63127,7,"3/63"
"Sulawesi Tengah","Kabupaten Buol","Buol","Moh. Muchlis Yojodolo (Pj.)",4043.57,132786,11,"7/108"
"Sulawesi Tengah","Kabupaten Donggala","Banawa","Kasman Lassa",4275.08,293470,16,"9/158"
"Sulawesi Tengah","Kabupaten Morowali","Bungku Tengah","Taslim",3037.04,129814,9,"7/126"
"Sulawesi Tengah","Kabupaten Morowali Utara","Kolonodale","Delis Julkarson Hehi",10004.28,117164,10,"3/122"
"Sulawesi Tengah","Kabupaten Parigi Moutong","Parigi","Samsurizal Tombolotutu",5089.91,444513,23,"5/278"
"Sulawesi Tengah","Kabupaten Poso","Poso","Verna Gladies Merry Inkiriwang",7112.25,243025,19,"28/141"
"Sulawesi Tengah","Kabupaten Sigi","Sigi Biromaru","Mohamad Irwan Lapatta",5196.02,247057,15,"-/176"
"Sulawesi Tengah","Kabupaten Tojo Una-Una","Ampana Kota","Mohammad Lahay",5721.15,155885,12,"12/134"
"Sulawesi Tengah","Kabupaten Tolitoli","Baolan","Amran Hi. Yahya",4079.77,211973,10,"6/103"
"Sulawesi Tengah","Kota Palu","-","Hadianto Rasyid",395.06,363867,8,"46/-"
"Sulawesi Selatan","Kabupaten Bantaeng","Bantaeng","Ilham Syah Azikin",395.83,176699,8,"21/46"
"Sulawesi Selatan","Kabupaten Barru","Barru","Suardi Saleh",1174.71,165983,7,"15/40"
"Sulawesi Selatan","Kabupaten Bone","Watampone","Andi Fahsar M. Padjalangi",4559,717268,27,"44/328"
"Sulawesi Selatan","Kabupaten Bulukumba","Ujung Bulu","Andi Muchtar Ali Yusuf",1154.67,394560,10,"27/109"
"Sulawesi Selatan","Kabupaten Enrekang","Enrekang","Muslimin Bando",1786.01,190579,12,"17/112"
"Sulawesi Selatan","Kabupaten Gowa","Sungguminasa","Adnan Purichta Ichsan",1883.32,652329,18,"46/121"
"Sulawesi Selatan","Kabupaten Jeneponto","Bontosunggu","Iksan Iskandar",749.79,342222,11,"31/82"
"Sulawesi Selatan","Kabupaten Kepulauan Selayar","Benteng","Muhammad Basli Ali",10503.69,122055,11,"7/81"
"Sulawesi Selatan","Kabupaten Luwu","Belopa","Basmin Mattayang",3000.25,332482,21,"20/207"
"Sulawesi Selatan","Kabupaten Luwu Timur","Malili","Budiman Hakim",6944.88,243069,11,"3/125"
"Sulawesi Selatan","Kabupaten Luwu Utara","Masamba","Indah Putri Indriani",7502.58,287472,15,"7/166"
"Sulawesi Selatan","Kabupaten Maros","Turikale","Chaidir Syam",1619.12,322212,14,"23/80"
"Sulawesi Selatan","Kabupaten Pangkajene dan Kepulauan","Pangkajene","Muhammad Yusran Lalogau",1236.27,305758,13,"38/65"
"Sulawesi Selatan","Kabupaten Pinrang","Watang Sawitto","Andi Irwan Hamid",1961.77,351161,12,"40/69"
"Sulawesi Selatan","Kabupaten Sidenreng Rappang","Pangkajene Sidenreng","Dollah Mando",2506.19,278004,11,"38/68"
"Sulawesi Selatan","Kabupaten Sinjai","Balangnipa","Andi Seto Gadhista Asapa",819.96,228936,9,"13/67"
"Sulawesi Selatan","Kabupaten Soppeng","Watansoppeng","Andi Kaswadi Razak",1359.44,223757,8,"21/49"
"Sulawesi Selatan","Kabupaten Takalar","Pattallassang","Setiawan Aswad (Pj.)",566.51,269171,10,"24/76"
"Sulawesi Selatan","Kabupaten Tana Toraja","Makale","Theofilus Allorerung",2054.3,221795,19,"47/112"
"Sulawesi Selatan","Kabupaten Toraja Utara","Rantepao","Yohanis Bassang",1151.47,215400,21,"40/111"
"Sulawesi Selatan","Kabupaten Wajo","Sengkang","Amran Mahmud",2056.2,384694,14,"48/142"
"Sulawesi Selatan","Kota Makassar","-","Moh. Ramdhan Pomanto",175.77,1334090,15,"153/-"
"Sulawesi Selatan","Kota Palopo","-","Judas Amir",247.52,148033,9,"48/-"
"Sulawesi Selatan","Kota Parepare","-","Taufan Pawe",99.33,132048,4,"22/-"
"Sulawesi Tenggara","Kabupaten Bombana","Rumbia","Burhanuddin (Pj.)",3001,136582,22,"22/121"
"Sulawesi Tenggara","Kabupaten Buton","Pasarwajo","Basiran (Pj.)",1212.99,114596,7,"12/83"
"Sulawesi Tenggara","Kabupaten Buton Selatan","Batauga","La Ode Budiman (Pj.)",509.92,94727,7,"10/60"
"Sulawesi Tenggara","Kabupaten Buton Tengah","Labungkari","Andi Muhammad Yusuf (Pj.)",958.31,115121,7,"10/67"
"Sulawesi Tenggara","Kabupaten Buton Utara","Buranga","M. Ridwan Zakariah",1864.91,62197,6,"12/78"
"Sulawesi Tenggara","Kabupaten Kolaka","Kota Kolaka","Ahmad Safei",3283.59,228970,12,"35/100"
"Sulawesi Tenggara","Kabupaten Kolaka Timur","Tirawuta","Abdul Azis (Plt.)",3634.74,119461,13,"16/117"
"Sulawesi Tenggara","Kabupaten Kolaka Utara","Lasusua","Parinringi (Pj.)",3391.67,134771,15,"6/127"
"Sulawesi Tenggara","Kabupaten Konawe","Kota Unaaha","Kery Saiful Konggoasa",4435.28,253659,27,"57/297"
"Sulawesi Tenggara","Kabupaten Konawe Kepulauan","Langara","Amrullah",867.58,34226,7,"7/89"
"Sulawesi Tenggara","Kabupaten Konawe Selatan","Andolo","Surunuddin Dangga",5779.47,306783,25,"15/336"
"Sulawesi Tenggara","Kabupaten Konawe Utara","Wanggudu","Ruksamin",5101.76,64773,13,"11/159"
"Sulawesi Tenggara","Kabupaten Muna","Kota Raha","La Ode M. Rusman Emba",1922.16,227941,22,"26/125"
"Sulawesi Tenggara","Kabupaten Muna Barat","Sawerigadi","Bahri (Pj.)",1022.89,78630,11,"5/81"
"Sulawesi Tenggara","Kabupaten Wakatobi","Wangi-Wangi","Haliana",559.54,110303,8,"26/75"
"Sulawesi Tenggara","Kota Baubau","-","La Ode Ahmad Monianse",221,154487,8,"43/-"
"Sulawesi Tenggara","Kota Kendari","-","Asmawa Tosepu (Pj.)",300.89,334335,10,"64/-"
"Gorontalo","Kabupaten Boalemo","Tilamuta","Hendriwan (Pj.)",1521.88,143689,7,"-/82"
"Gorontalo","Kabupaten Bone Bolango","Suwawa","Hamim Pou",1984.31,160154,18,"5/160"
"Gorontalo","Kabupaten Gorontalo","Limboto","Nelson Pomalingo",1750.83,391944,19,"14/191"
"Gorontalo","Kabupaten Gorontalo Utara","Kwandang","Thariq Modanggu",1676.15,124202,11,"-/123"
"Gorontalo","Kabupaten Pohuwato","Marisa","Saipul A. Mbuinga",4244.31,141281,13,"3/101"
"Gorontalo","Kota Gorontalo","-","Marten Taha",79.59,196055,9,"50/-"
"Sulawesi Barat","Kabupaten Majene","Banggae","Andi Achmad Syukri Tammalele",947.84,166505,8,"20/62"
"Sulawesi Barat","Kabupaten Mamasa","Mamasa","Ramlan Badawi",3005.88,203599,17,"13/168"
"Sulawesi Barat","Kabupaten Mamuju","Mamuju","Sitti Sutinah Suhardi",3973.07,110593,11,"15/88"
"Sulawesi Barat","Kabupaten Mamuju Tengah","Tobadak","Aras Tammauni",3014.37,142913,5,"-/54"
"Sulawesi Barat","Kabupaten Pasangkayu","Pasangkayu","Yaumil Ambo Djiwa",3043.75,208325,12,"4/59"
"Sulawesi Barat","Kabupaten Polewali Mandar","Polewali","Andi Ibrahim Masdar",1775.65,517677,16,"23/144"
"Maluku","Kabupaten Buru","Namlea","Djalaludin Salampessy (Pj.)",4932.32,130696,10,"-/82"
"Maluku","Kabupaten Buru Selatan","Namrole","Safitri Malik Soulisa",3780.56,72993,6,"-/79"
"Maluku","Kabupaten Kepulauan Aru","Dobo","Johan Gonga",8152.42,102272,10,"2/117"
"Maluku","Kabupaten Kepulauan Tanimbar","Saumlaki","Daniel Indey (Pj.)",4465.79,122337,10,"2/80"
"Maluku","Kabupaten Maluku Barat Daya","Tiakur","Benyamin Thomas Noach",4581.06,66805,17,"1/117"
"Maluku","Kabupaten Maluku Tengah","Masohi","Muhamad Marasabessy (Pj.)",7953.81,422065,18,"6/186"
"Maluku","Kabupaten Maluku Tenggara","Langgur","Muh. Thaher Hanubun",1031.81,125704,11,"1/190"
"Maluku","Kabupaten Seram Bagian Barat","Piru","Andi Chandra As’aduddin (Pj.)",5033.38,208009,11,"-/92"
"Maluku","Kabupaten Seram Bagian Timur","Bula","Abdul Mukti Keliobas",6429.88,131707,15,"-/198"
"Maluku","Kota Ambon","-","Bodewin Wattimena (Pj.)",298.61,375760,5,"20/30"
"Maluku","Kota Tual","-","Adam Rahayaan",254.39,84585,5,"3/27"
"Maluku Utara","Kabupaten Halmahera Barat","Jailolo","James Uang",1704.2,132427,8,"-/169"
"Maluku Utara","Kabupaten Halmahera Tengah","Weda","Ikram M. Sangadji (Pj.)",2653.76,50164,10,"-/61"
"Maluku Utara","Kabupaten Halmahera Timur","Kota Maba","Ubaid Yakub",6571.37,90924,10,"-/102"
"Maluku Utara","Kabupaten Halmahera Selatan","Labuha","Usman Sidik",8148.9,247378,30,"-/249"
"Maluku Utara","Kabupaten Halmahera Utara","Tobelo","Frans Manery",3896.9,194291,17,"-/196"
"Maluku Utara","Kabupaten Kepulauan Sula","Sanana","Fifian Adeningsi Mus",3304.32,110507,12,"-/78"
"Maluku Utara","Kabupaten Pulau Morotai","Daruba","Muhammad Umar Ali (Pj.)",2476,66983,5,"-/88"
"Maluku Utara","Kabupaten Pulau Taliabu","Bobong","Aliong Mus",1469.93,56202,8,"-/71"
"Maluku Utara","Kota Ternate","-","M. Tauhid Soleman",111.39,215524,7,"77/-"
"Maluku Utara","Kota Tidore Kepulauan","-","Ali Ibrahim",1645.73,111431,8,"40/49"
"Papua","Kabupaten Biak Numfor","Biak","Herry Ario Naap",2602,134650,19,"14/254"
"Papua","Kabupaten Jayapura","Sentani","Triwarno Purnomo (Pj.)",11157.15,166171,19,"5/139"
"Papua","Kabupaten Keerom","Arso (de facto)Waris (de jure)","Piter Gusbager",8390,61623,11,"-/91"
"Papua","Kabupaten Kepulauan Yapen","Serui Kota","Cyfrianus Yustus Mambay (Pj.)",2050,112676,16,"5/160"
"Papua","Kabupaten Mamberamo Raya","Burmeso","Dorinus Dasinapa",23813.91,36483,8,"-/60"
"Papua","Kabupaten Sarmi","Sarmi","Markus Oktovianus Mansnembra (Pj.)",17742,41515,10,"2/92"
"Papua","Kabupaten Supiori","Sorendiweri","Yan Imbab",678.32,22547,5,"-/38"
"Papua","Kabupaten Waropen","Botawa","Yeremias Bisay",10977.09,33943,11,"-/100"
"Papua","Kota Jayapura","-","Frans Pekey (Pj.)",935.92,398478,5,"25/14"
"Papua Barat","Kabupaten Fakfak","Fakfak","Untung Tamsil",14320,85197,17,"7/142"
"Papua Barat","Kabupaten Kaimana","Kaimana","Freddy Thie",16241.84,62256,7,"2/84"
"Papua Barat","Kabupaten Manokwari","Manokwari","Hermus Indou",3186.28,192663,9,"9/164"
"Papua Barat","Kabupaten Manokwari Selatan","Ransiki","Markus Waran",2812.44,35949,6,"-/57"
"Papua Barat","Kabupaten Pegunungan Arfak","Anggi","Yosias Saroy",2773.74,38207,10,"-/166"
"Papua Barat","Kabupaten Teluk Bintuni","Bintuni","Petrus Kasihiw",20840.83,87033,24,"2/115"
"Papua Barat","Kabupaten Teluk Wondama","Rasiei","Hendrik Mambor",3959.53,41644,13,"1/75"
"Papua Selatan","Kabupaten Asmat","Agats","Elisa Kambu",31983.69,110105,19,"-/221"
"Papua Selatan","Kabupaten Boven Digoel","Tanah Merah","Hengky Yaluwo",27108,64285,20,"-/112"
"Papua Selatan","Kabupaten Mappi","Kepi","Michael Rooney Gomar (Pj.)",24118,108295,15,"2/162"
"Papua Selatan","Kabupaten Merauke","Merauke","Romanus Mbaraka",44071,230932,20,"11/179"
"Papua Tengah","Kabupaten Deiyai","Tigi","Ateng Edowai",537.39,99091,5,"-/67"
"Papua Tengah","Kabupaten Dogiyai","Kamu","Petrus Agapa (Pj.)",4237.4,116206,10,"-/79"
"Papua Tengah","Kabupaten Intan Jaya","Sugapa","Apolos Bagau (Pj.)",3922.02,135043,8,"-/97"
"Papua Tengah","Kabupaten Mimika","Timika","Valentinus Sudarjanto Sumito (Pj.)",21633,311969,18,"2/109"
"Papua Tengah","Kabupaten Nabire","Nabire","Mesak Magai",11112.61,169136,15,"9/72"
"Papua Tengah","Kabupaten Paniai","Enarotali","Meki Fritz Nawipa",6525.25,220410,23,"5/216"
"Papua Tengah","Kabupaten Puncak","Ilaga","Willem Wandik",8055,114741,25,"-/206"
"Papua Tengah","Kabupaten Puncak Jaya","Mulia","Tumiran (Pj.)",5996.94,224527,26,"3/302"
"Papua Pegunungan","Kabupaten Jayawijaya","Wamena","John Richard Banua",13925.31,277923,40,"4/328"
"Papua Pegunungan","Kabupaten Lanny Jaya","Tiom","Doren Wakerkwa (Pj.)",6077.4,201461,39,"1/354"
"Papua Pegunungan","Kabupaten Mamberamo Tengah","Kobakma","Yonas Kenelak (Plt.)",3743.64,51719,5,"-/59"
"Papua Pegunungan","Kabupaten Nduga","Kenyam","Edison Gwijangge (Pj.)",12941,109630,32,"-/248"
"Papua Pegunungan","Kabupaten Pegunungan Bintang","Oksibil","Spei Yan Birdana",15683,78466,34,"-/277"
"Papua Pegunungan","Kabupaten Tolikara","Karubaga","Marthen Kogoya (Pj.)",14564,244345,46,"4/541"
"Papua Pegunungan","Kabupaten Yalimo","Elelim","Nahor Nekwek",4330.29,103387,5,"-/300"
"Papua Pegunungan","Kabupaten Yahukimo","Sumohai (de jure)Dekai (de facto)","Didimus Yahuli",17152,350880,51,"1/510"
"Papua Barat Daya","Kabupaten Maybrat","Kumurkek","Bernhard Rondonuwu (Pj.)",5461.69,42991,24,"1/259"
"Papua Barat Daya","Kabupaten Raja Ampat","Waisai","Abdul Faris Umlati",8034.44,64141,24,"4/117"
"Papua Barat Daya","Kabupaten Sorong","Aimas","Yan Piet Moso (Pj.)",6544.23,118679,30,"26/226"
"Papua Barat Daya","Kabupaten Sorong Selatan","Teminabuan","Samsudin Anggiluli",6594.31,52469,15,"2/121"
"Papua Barat Daya","Kabupaten Tambrauw","Fef","Engelbertus Gabriel Kocu (Pj.)",11529.18,28379,29,"-/216"
"Papua Barat Daya","Kota Sorong","-","George Yarangga (Pj.)",656.64,284410,10,"52/-"
